Order ID,Product Category,Profit,Revenue,Cost ,Date
ORD-202623832,HOME APPLIANCES,60236,"$222,628 ","$162,392 ",5/21/2026
ORD-202653979,Furniture,24859,123404,98545,10/28/2024
ORD-202639638,Electronics,97472,298882,201410,4/17/2023
ORD-202696521,Electronics,48126,292046,243920,12/17/2025
ORD-202296962,nan,46025,256263,210238,4/1/2025
ORD-202222533,furniture,51264,"$217,434 ","$166,170 ",7/11/2026
ORD-202463474,nan,47382,290328,242946,23-08-2022
ORD-202367509,Electronics,25146,167898,142752,5/25/2026
ORD-202499431,Furniture,68231,207043,138812,22-03-2022
ORD-202324241,nan,9389,82910,73521,5/1/2026
ORD-202560404,Furniture,"$4,174 ","$48,481 ","44,307",8/16/2023
ORD-202210779,electronics,92164,299363,207199,15-11-2024
ORD-202271095,HOME APPLIANCES,53512,"$175,260 ","$121,748 ",15-12-2022
ORD-202263025,Home Appliances,"$43,281 ","$295,460 ","252,179",7/10/2026
ORD-202692900,Electronics,50290,"$227,495 ","$177,205 ",10/21/2025
ORD-202317634,None,"($13,617)","$78,882 ","65,265",11/10/2023
ORD-202653353,electronics,18633,"$256,346 ","$237,713 ",5/7/2022
ORD-202664442,Home Appliances,28461,"$101,266 ","$72,805 ",4/24/2022
ORD-202395359,nan,13002,187593,174591,5/3/2025
ORD-202511454,electronics,"$7,915 ","$29,735 ","21,820",9/17/2025
ORD-202515090,nan,23777,"$96,867 ","$73,090 ",4/5/2026
ORD-202573207,Furniture,39613,141006,101393,7/23/2024
ORD-202270688,None,"$25,625 ","$82,789 ","57,164",12/17/2026
ORD-202633098,None,Null,"$67,406 ","49,965",4/9/2022
ORD-202423664,Furniture,"$55,228 ","$175,719 ","120,491",3/29/2024
ORD-202266595,Home Appliances,45464,233803,188339,10/12/2023
ORD-202338413,nan,9203,"$33,409 ","$24,206 ",9/24/2025
ORD-202445881,Home Appliances,39413,"$205,582 ","$166,169 ",20-09-2026
ORD-202440827,HOME APPLIANCES,21594,"$76,084 ","$54,490 ",5/29/2022
ORD-202397986,Electronics,"$27,742 ","$140,239 ","112,497",3/15/2022
ORD-202210854,nan,15926,"$249,661 ","$233,735 ",12/30/2024
ORD-202618048,Home Appliances,"$7,687 ","$125,746 ","118,059",5/30/2025
ORD-202525644,furniture,34129,"$112,762 ","$78,633 ",3/11/2024
ORD-202377260,nan,38981,"$269,884 ","$230,903 ",1/2/2023
ORD-202324481,None,7647,"$38,300 ","$30,653 ",4/9/2023
ORD-202664521,furniture,,225273,152969,7/20/2025
ORD-202272276,Electronics,26473,84492,58019,12/10/2023
ORD-202239058,None,"$61,070 ","$234,993 ","173,923",6/28/2025
ORD-202291908,Furniture,,"$16,820 ","$12,689 ",9/18/2022
ORD-202230190,HOME APPLIANCES,21680,226955,205275,4/24/2022
ORD-202695398,HOME APPLIANCES,55725,228583,172858,4/27/2022
ORD-202218616,Electronics,61226,"$201,613 ","$140,387 ",2/22/2023
ORD-202295509,Home Appliances,"$10,842 ","$88,719 ","77,877",4/2/2022
ORD-202284629,electronics,"$2,147 ","$16,473 ","14,326",3/22/2023
ORD-202610789,nan,17713,"$55,519 ","$37,806 ",12/17/2026
ORD-202630696,Furniture,-55563,"$185,632 ","$130,069 ",3/8/2024
ORD-202663635,Electronics,14896,"$84,033 ","$69,137 ",7/9/2025
ORD-202645830,furniture,35226,"$108,974 ","$73,748 ",9/5/2023
ORD-202427884,Furniture,57354,"$258,105 ","$200,751 ",4/4/2024
ORD-202317809,HOME APPLIANCES,Null,284190,241550,5/23/2022
ORD-202654878,nan,69485,"$221,851 ","$152,366 ",8/12/2025
ORD-202280134,electronics,74036,227635,153599,6/1/2025
ORD-202679285,furniture,57262,198805,141543,11/11/2023
ORD-202244349,nan,44378,"$135,985 ","$91,607 ",2/7/2022
ORD-202630696,Furniture,Null,189080,131231,7/16/2023
ORD-202242027,nan,74625,"$282,780 ","$208,155 ",24-03-2022
ORD-202636049,None,52458,"$215,422 ","$162,964 ",4/1/2022
ORD-202556497,Furniture,,267600,232845,2/13/2025
ORD-202281897,nan,5719,63739,58020,23-06-2023
ORD-202524184,furniture,"$27,219 ","$87,667 ","60,448",7/24/2023
ORD-202483818,HOME APPLIANCES,"$77,562 ","$225,983 ","148,421",4/14/2023
ORD-202685398,None,"$7,961 ","$23,103 ","15,142",3/6/2024
ORD-202326895,None,24146,"$106,849 ","$82,703 ",7/17/2026
ORD-202270688,HOME APPLIANCES,60555,"$210,939 ","$150,384 ",25-11-2025
ORD-202547456,Electronics,11334,135695,124361,23-07-2024
ORD-202443351,nan,"$82,989 ","$260,917 ","177,928",12/16/2023
ORD-202327531,nan,75878,"$239,444 ","$163,566 ",6/25/2023
ORD-202643340,None,"$30,912 ","$98,494 ","67,582",1/8/2023
ORD-202449560,None,21515,"$113,146 ","$91,631 ",12/2/2022
ORD-202528397,electronics,45260,"$135,462 ","$90,202 ",10/30/2023
ORD-202536554,HOME APPLIANCES,4197,34060,29863,11/21/2026
ORD-202618048,nan,"$5,454 ","$45,922 ","40,468",7/22/2022
ORD-202633845,None,15652,"$291,751 ","$276,099 ",6/14/2023
ORD-202324241,Furniture,34152,136028,101876,10/15/2024
ORD-202453150,furniture,35993,200231,164238,12/3/2025
ORD-202517641,furniture,30415,130287,99872,3/3/2026
ORD-202382395,furniture,60411,"$188,990 ","$128,579 ",8/4/2026
ORD-202392104,Electronics,"$4,243 ","$26,067 ","21,824",9/5/2025
ORD-202679285,Electronics,23573,164500,140927,6/20/2023
ORD-202525644,Electronics,73606,284547,210941,5/5/2024
ORD-202443470,Electronics,9892,89526,79634,2/28/2025
ORD-202386983,HOME APPLIANCES,"$44,763 ","$258,232 ","213,469",4/1/2026
ORD-202634811,nan,"($50,874)","$166,049 ","115,175",7/15/2026
ORD-202224522,nan,69875,282393,212518,10/30/2024
ORD-202597611,furniture,"$25,193 ","$133,764 ","108,571",5/5/2026
ORD-202662278,electronics,33124,"$98,153 ","$65,029 ",9/6/2023
ORD-202325883,HOME APPLIANCES,"$45,962 ","$171,219 ","125,257",2/1/2026
ORD-202336680,furniture,9485,83972,74487,1/7/2024
ORD-202295495,None,"$53,458 ","$155,658 ","102,200",27-10-2024
ORD-202392104,Home Appliances,"$10,231 ","$192,948 ","182,717",7/7/2025
ORD-202589435,Furniture,"$11,037 ","$60,568 ","49,531",1/22/2023
ORD-202586139,nan,12563,"$186,710 ","$174,147 ",5/31/2024
ORD-202459169,electronics,21476,"$121,616 ","$100,140 ",10/21/2026
ORD-202556497,nan,"$18,320 ","$123,579 ","105,259",8/26/2022
ORD-202511609,Home Appliances,"$23,616 ","$176,624 ","153,008",8/21/2026
ORD-202318102,Furniture,15563,"$297,577 ","$282,014 ",7/28/2022
ORD-202255924,nan,3314,"$16,027 ","$12,713 ",11/19/2024
ORD-202556985,HOME APPLIANCES,,"$250,385 ","207,020",6/4/2023
ORD-202321967,furniture,53692,"$223,408 ","$169,716 ",5/14/2022
ORD-202410339,None,43196,"$166,138 ","$122,942 ",8/11/2026
ORD-202390135,furniture,50641,154723,104082,4/10/2023
ORD-202335153,nan,"$11,486 ","$42,724 ","31,238",12/9/2025
