Order ID,Product Category,Profit,Revenue,Cost ,Date
ORD-202623832,HOME APPLIANCES,60236,"$222,628 ","$162,392 ",5/21/2026
ORD-202653979,Furniture,24859,123404,98545,10/28/2024
ORD-202639638,Electronics,97472,298882,201410,4/17/2023
ORD-202696521,Electronics,48126,292046,243920,12/17/2025
ORD-202296962,nan,46025,256263,210238,4/1/2025
ORD-202222533,furniture,51264,"$217,434 ","$166,170 ",7/11/2026
ORD-202463474,nan,47382,290328,242946,23-08-2022
ORD-202367509,Electronics,25146,167898,142752,5/25/2026
ORD-202499431,Furniture,68231,207043,138812,22-03-2022
ORD-202324241,nan,9389,82910,73521,5/1/2026
ORD-202560404,Furniture,"$4,174 ","$48,481 ","44,307",8/16/2023
ORD-202210779,electronics,92164,299363,207199,15-11-2024
ORD-202271095,HOME APPLIANCES,53512,"$175,260 ","$121,748 ",15-12-2022
ORD-202263025,Home Appliances,"$43,281 ","$295,460 ","252,179",7/10/2026
ORD-202692900,Electronics,50290,"$227,495 ","$177,205 ",10/21/2025
ORD-202317634,None,"($13,617)","$78,882 ","65,265",11/10/2023
ORD-202653353,electronics,18633,"$256,346 ","$237,713 ",5/7/2022
ORD-202664442,Home Appliances,28461,"$101,266 ","$72,805 ",4/24/2022
ORD-202395359,nan,13002,187593,174591,5/3/2025
ORD-202511454,electronics,"$7,915 ","$29,735 ","21,820",9/17/2025
ORD-202515090,nan,23777,"$96,867 ","$73,090 ",4/5/2026
ORD-202573207,Furniture,39613,141006,101393,7/23/2024
ORD-202270688,None,"$25,625 ","$82,789 ","57,164",12/17/2026
ORD-202633098,None,Null,"$67,406 ","49,965",4/9/2022
ORD-202423664,Furniture,"$55,228 ","$175,719 ","120,491",3/29/2024
ORD-202266595,Home Appliances,45464,233803,188339,10/12/2023
ORD-202338413,nan,9203,"$33,409 ","$24,206 ",9/24/2025
ORD-202445881,Home Appliances,39413,"$205,582 ","$166,169 ",20-09-2026
ORD-202440827,HOME APPLIANCES,21594,"$76,084 ","$54,490 ",5/29/2022
